Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2007-01-03,11.971428871154785,60.36000061035156,89.16999816894531,61.15999984741211,27.729999542236328,70.97000122070312,33.73830032348633,,200.72000122070312,41.06999969482422,97.2699966430664,20.350000381469727,66.4000015258789,48.06999969482422,24.290000915527344,43.869998931884766,78.26000213623047,44.02000045776367,29.860000610351562,12.208749771118164,26.290000915527344,64.54000091552734,39.52800369262695,53.54999923706055,52.56999969482422,,35.306732177734375,46.06999969482422,47.54999923706055,74.11000061035156
2007-01-04,12.237142562866211,59.91999816894531,89.52999877929688,61.0,28.459999084472656,70.27999877929688,34.00465393066406,,198.85000610351562,40.56999969482422,98.30999755859375,21.170000076293945,67.2300033569336,48.189998626708984,24.299999237060547,43.540000915527344,77.94999694824219,45.11000061035156,29.809999465942383,12.333749771118164,26.3799991607666,64.05000305175781,39.565765380859375,53.099998474121094,52.90999984741211,,35.502777099609375,46.15999984741211,47.779998779296875,72.72000122070312
2007-01-05,12.149999618530273,59.130001068115234,89.1500015258789,60.220001220703125,28.469999313354492,70.55000305175781,33.72843551635742,,199.0500030517578,39.790000915527344,97.41999816894531,21.100000381469727,66.62000274658203,47.790000915527344,24.1299991607666,43.540000915527344,77.41999816894531,44.29999923706055,29.639999389648438,12.353750228881836,26.299999237060547,63.5,39.44619369506836,52.40999984741211,52.54999923706055,,34.89596939086914,45.5,47.38999938964844,73.23999786376953
2007-01-08,12.210000038146973,59.689998626708984,88.94000244140625,60.290000915527344,28.6299991607666,71.44999694824219,34.03424835205078,,203.72999572753906,39.4900016784668,98.9000015258789,21.010000228881836,66.51000213623047,47.95000076293945,24.28499984741211,43.709999084472656,77.58999633789062,44.290000915527344,29.93000030517578,12.31624984741211,26.15999984741211,63.63999938964844,39.76715087890625,52.02000045776367,53.31999969482422,,34.36384963989258,45.689998626708984,47.0,72.6500015258789
2007-01-09,13.224286079406738,59.310001373291016,88.0,60.619998931884766,28.469999313354492,70.62999725341797,33.98492431640625,,204.0800018310547,39.31999969482422,100.06999969482422,21.030000686645508,66.26000213623047,47.75,24.30500030517578,43.790000915527344,77.68000030517578,43.880001068115234,29.959999084472656,12.470000267028809,26.170000076293945,63.47999954223633,39.31403350830078,51.88999938964844,52.68000030517578,,34.50387954711914,45.93000030517578,47.38999938964844,72.08999633789062
2007-01-10,13.857142448425293,59.27000045776367,89.2699966430664,60.31999969482422,28.68000030517578,69.41000366210938,34.024383544921875,,208.11000061035156,39.779998779296875,98.88999938964844,21.520000457763672,66.1500015258789,48.099998474121094,24.34000015258789,44.2599983215332,77.8499984741211,44.119998931884766,29.65999984741211,12.470000267028809,26.200000762939453,64.23999786376953,39.452484130859375,51.54999923706055,52.83000183105469,,34.307838439941406,45.58000183105469,47.279998779296875,70.98999786376953
2007-01-11,13.685714721679688,59.45000076293945,88.83999633789062,60.0,28.690000534057617,68.69000244140625,34.517635345458984,,211.8800048828125,40.08000183105469,98.6500015258789,21.920000076293945,66.7300033569336,48.310001373291016,24.3700008392334,44.5099983215332,78.6500015258789,44.2599983215332,30.700000762939453,12.4975004196167,26.459999084472656,64.63999938964844,40.088104248046875,51.20000076293945,54.45000076293945,,34.64391326904297,46.060001373291016,47.599998474121094,70.9800033569336
2007-01-12,13.517143249511719,59.0099983215332,88.12999725341797,59.7400016784668,28.920000076293945,70.3499984741211,34.73466491699219,,213.99000549316406,40.11000061035156,99.33999633789062,22.1299991607666,66.63999938964844,47.9900016784668,24.274999618530273,44.220001220703125,79.36000061035156,44.790000915527344,31.209999084472656,12.470000267028809,26.639999389648438,65.0,40.541221618652344,51.060001373291016,55.099998474121094,,34.84929275512695,46.20000076293945,47.97999954223633,72.66000366210938
2007-01-16,13.871428489685059,59.130001068115234,88.0,59.2400016784668,28.040000915527344,69.66999816894531,34.55709457397461,,213.58999633789062,40.290000915527344,100.81999969482422,22.299999237060547,66.54000091552734,48.38999938964844,24.25,44.56999969482422,79.55999755859375,44.95000076293945,31.15999984741211,12.49625015258789,26.770000457763672,65.0,40.61044692993164,51.04999923706055,55.75,,34.690589904785156,46.09000015258789,48.310001373291016,71.62999725341797
2007-01-17,13.564285278320312,59.220001220703125,88.83000183105469,59.90999984741211,26.979999542236328,70.81999969482422,34.77412414550781,,213.22999572753906,40.290000915527344,100.0199966430664,21.040000915527344,66.87000274658203,48.43000030517578,24.299999237060547,44.86000061035156,78.91000366210938,45.0099983215332,31.100000381469727,12.477499961853027,26.889999389648438,65.36000061035156,40.79294967651367,50.959999084472656,55.650001525878906,,34.42919921875,46.5099983215332,48.20000076293945,72.45999908447266
